id,legal_name,name,dob,email,phone,father_name,mother_name,husband_name,gender,blood_group,marital_status,present_address,permanent_address,devotional_status_id,gurudev_harinam,gurudev_pancharatrik,harinam_initiation_gurudev,pancharatrik_initiation_gurudev,initiated_name,harinam_date,pancharatrik_date,education,occupation,devotional_courses,additional_comments,shraddhakutir_id,created_at,updated_at,namhatta_id
3,"Bela Sengupta",,1956-06-16,bela.sengupta@example.com,+911583577924,"Mukesh Agarwal","Usha Kumar","Pankaj Das",FEMALE,AB+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}",1,,,,,"Yamuna Devi",2016-02-11,,,Engineer,"[{""name"":""Course 2"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-08-25T22:09:10.327Z,CURRENT_TIMESTAMP,5
4,"Sunanda Rao",,1990-04-19,sunanda.rao@example.com,+916760816957,"Subhas Banerjee","Puja Mitra","Naresh Sinha",FEMALE,AB+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}",6,,,,,,,,,Retired,[],,,2025-03-13T14:28:01.839Z,CURRENT_TIMESTAMP,6
5,"Nirmal Bose",,1958-03-14,nirmal.bose@example.com,+912137550132,"Anand Ghosh","Nila Pal",,MALE,O+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}",7,,,,,"Nitai Das",2015-02-21,,,Doctor,[],,,2024-11-14T06:06:54.646Z,CURRENT_TIMESTAMP,7
6,"Sushma Rana",,1966-06-28,sushma.rana@example.com,+917338175868,"Bijoy Chatterjee","Sujata Bhattacharya",,FEMALE,B+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}",4,,,,,,,,,Doctor,[],,,2025-01-05T22:05:42.582Z,CURRENT_TIMESTAMP,8
7,"Bela Sengupta",,1972-11-03,bela.sengupta@example.com,+917513949408,"Goutam Sengupta","Mira Sarkar",,FEMALE,B+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}",7,,,,,"Sampati Das",2008-06-22,,,Doctor,[],,,2024-11-18T16:37:06.168Z,CURRENT_TIMESTAMP,9
8,"Vinod Tiwari",,1976-09-18,vinod.tiwari@example.com,+911269458016,"Surendra Babu","Malati Chatterjee",,MALE,AB-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}",1,,,,,"Narada Das",2009-08-27,,,Engineer,"[{""name"":""Course 1"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-07-11T13:06:31.547Z,CURRENT_TIMESTAMP,10
9,"Devendra Nair",,1967-09-28,devendra.nair@example.com,+911243288833,"Pradip Mitra","Usha Kumar","Lalita Reddy",MALE,B+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}",3,,,,,"Gandhari Devi",2012-08-10,,,"Government Service",[],,,2025-06-01T21:46:45.175Z,CURRENT_TIMESTAMP,11
10,"Shanti Pandey",,1979-10-16,shanti.pandey@example.com,+916660802332,"Jitendra Pillai","Malati Chatterjee","Nirmal Bose",FEMALE,A+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}",7,,,,,,,,,"Government Service",[],,,2025-05-16T03:47:40.960Z,CURRENT_TIMESTAMP,12
11,"Sharda Pillai",,1984-11-24,sharda.pillai@example.com,+918417474086,"Arun Bhardwaj","Kamala Banerjee","Mukesh Agarwal",FEMALE,O-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Howrah"",""village"":""Howrah"",""postalCode"":""711101""}","{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}",3,,,,,"Shatrughna Das",2021-11-26,,,Doctor,[],,,2025-02-08T16:40:31.675Z,CURRENT_TIMESTAMP,13
12,"Arun Bhardwaj",,1951-07-11,arun.bhardwaj@example.com,+913723062892,"Nirmal Bose","Anjali Yadav","Vidya Nair",MALE,AB-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}",6,,,,,"Vibhishana Das",2000-11-07,,,Student,[],,,2025-06-21T03:18:30.893Z,CURRENT_TIMESTAMP,14
